index,index,Rank,Platform,HardwareSales,SoftwareSales,Games
0,0,1,PS2,157.68,1661.95,3549.0
1,1,2,X360,85.8,1007.64,3678.0
2,2,3,PS3,86.9,974.58,3316.0
3,3,4,Wii,101.64,965.78,2809.0
4,4,5,PS,104.25,962.01,2680.0
5,5,6,DS,154.9,844.74,4009.0
6,6,7,PS4,78.82,520.19,1049.0
7,7,8,NES,61.91,501.48,1093.0
8,8,9,GB,118.69,501.11,1608.0
9,9,10,SNES,49.1,379.06,1207.0
10,10,11,GBA,81.51,377.41,1640.0
11,11,12,3DS,72.13,318.1,1177.0
12,12,13,PC,0.0,312.68,9476.0
13,13,14,PSP,80.82,304.61,1806.0
14,14,15,XB,24.65,271.46,978.0
15,15,16,XOne,37.41,243.38,625.0
16,16,17,N64,32.93,225.16,395.0
17,17,18,GC,21.74,208.61,673.0
18,18,19,GEN,29.54,175.8,802.0
19,19,20,2600,27.64,128.8,497.0
20,20,21,WiiU,13.97,93.04,376.0
21,21,22,PSV,16.0,68.5,958.0
22,22,23,DC,8.2,64.89,652.0
23,23,24,NS,16.94,50.12,105.0
24,24,25,SAT,8.82,47.34,737.0
25,25,26,GG,10.62,38.26,334.0
26,26,27,iOS,0.0,3.49,203822.0
27,27,28,SCD,0.0,1.96,218.0
28,28,29,NG,0.0,1.51,171.0
29,29,30,WS,1.12,1.5,201.0
30,30,31,TG16,0.0,0.16,461.0
31,31,32,3DO,0.0,0.1,304.0
32,32,33,PCFX,0.0,0.03,67.0
33,33,34,7800,4.3,0.0,59.0
34,34,35,Amig,0.0,0.0,27.0
35,35,36,MS,0.0,0.0,337.0
36,36,37,MSX,0.0,0.0,7.0
37,37,38,AJ,0.0,0.0,73.0
38,38,39,And,0.0,0.0,980.0
39,39,40,Int,0.0,0.0,0.0
40,40,41,ACPC,0.0,0.0,19.0
41,41,42,CDi,0.0,0.0,1.0
42,42,43,VB,0.0,0.0,22.0
43,43,44,ApII,0.0,0.0,4.0
44,44,45,2DS,0.0,0.0,3.0
45,45,46,S32X,0.0,0.0,3.0
46,46,47,OR,0.0,0.0,2.0
47,47,48,FMT,0.0,0.0,3.0
48,48,49,Lynx,0.0,0.0,90.0
49,49,50,FCF,0.0,0.0,0.0
50,50,51,NGX,0.0,0.0,1.0
51,51,52,OSX,0.0,0.0,625.0
52,52,53,ZXS,0.0,0.0,19.0
53,53,54,GIZ,0.0,0.0,56.0
54,54,55,BBCM,0.0,0.0,1.0
55,55,56,Arc,0.0,0.0,40.0
56,56,57,Linux,0.0,0.0,306.0
57,57,58,Ouya,0.0,0.0,24.0
58,58,59,HTC,0.0,0.0,2.0
59,59,60,MSD,0.0,0.0,27.0
60,60,61,Mob,0.0,0.0,3.0
61,61,62,Odys,0.0,0.0,1.0
62,62,63,C64,0.0,0.0,34.0
63,63,64,Nvidia,0.0,0.0,2.0
64,64,65,DSi,0.0,0.0,79.0
65,65,66,C128,0.0,0.0,1.0
66,66,67,NGage,0.0,0.0,60.0
67,67,68,Aco,0.0,0.0,1.0
68,68,69,BRW,0.0,0.0,63.0
69,69,70,FDS,0.0,0.0,2.0
70,70,71,WinP,0.0,0.0,68.0
71,71,72,PlayVR,0.0,0.0,6.0
72,72,73,AST,0.0,0.0,19.0
73,73,74,5200,0.0,0.0,73.0
74,74,75,GBC,0.0,0.0,7.0
75,75,76,CD32,0.0,0.0,2.0
76,76,77,Famicon,0.0,0.0,2.0
